time,callsign,latitude,longitude,tas,heading,altitude
2016-08-15 17:00:06,A7,37.61549,-122.38114,6,147,0.06
2016-08-15 17:00:07,A7,37.61548,-122.38111,7,129,0.06
2016-08-15 17:00:08,A7,37.61547,-122.38108,7,129,0.06
2016-08-15 17:00:09,A7,37.61545,-122.38103999999998,8,139,0.06
2016-08-15 17:00:10,A7,37.61542,-122.38101,8,158,0.06
2016-08-15 17:00:11,A7,37.6154,-122.38096000000002,8,133,0.06
2016-08-15 17:00:13,A7,37.61534,-122.38091,9,163,0.06
2016-08-15 17:00:14,A7,37.61531,-122.38088,9,158,0.06
2016-08-15 17:00:15,A7,37.61528,-122.38084,9,150,0.06
2016-08-15 17:00:16,A7,37.61524,-122.38082,9,175,0.06
2016-08-15 17:00:17,A7,37.61521,-122.38081,9,182,0.06
2016-08-15 17:00:18,A7,37.61517,-122.3808,10,185,0.06
2016-08-15 17:00:19,A7,37.61513,-122.38076,13,158,0.06
2016-08-15 17:00:20,A7,37.61505,-122.38079,13,213,0.06
2016-08-15 17:00:21,A7,37.61497,-122.38078,13,191,0.06
2016-08-15 17:00:22,A7,37.61493,-122.38078,13,197,0.06
2016-08-15 17:00:23,A7,37.61491,-122.38077,13,175,0.06
2016-08-15 17:00:24,A7,37.61487,-122.38082,11,241,0.06
2016-08-15 17:00:25,A7,37.61482,-122.38089,12,244,0.06
2016-08-15 17:00:26,A7,37.61477,-122.38088,12,188,0.06
2016-08-15 17:00:27,A7,37.61472,-122.3809,13,214,0.06
2016-08-15 17:00:28,A7,37.61467,-122.38092,12,214,0.06
2016-08-15 17:00:29,A7,37.61461,-122.38096000000002,12,224,0.06
2016-08-15 17:00:30,A7,37.61458,-122.381,12,243,0.06
2016-08-15 17:00:31,A7,37.61453,-122.38103999999998,13,229,0.06
2016-08-15 17:00:32,A7,37.61448,-122.38106,12,214,0.06
2016-08-15 17:00:33,A7,37.61441,-122.38108,12,209,0.06
2016-08-15 17:00:34,A7,37.61437,-122.38112,12,235,0.06
2016-08-15 17:00:35,A7,37.61433,-122.38116,11,235,0.06
2016-08-15 17:00:36,A7,37.6143,-122.3812,11,243,0.06
2016-08-15 17:00:37,A7,37.61426,-122.38123,11,227,0.06
2016-08-15 17:00:38,A7,37.61421,-122.38126,11,222,0.06
2016-08-15 17:00:39,A7,37.61417,-122.3813,11,235,0.06
2016-08-15 17:00:41,A7,37.61408,-122.38134,11,216,0.06
2016-08-15 17:00:42,A7,37.61403,-122.38137,11,222,0.06
2016-08-15 17:00:43,A7,37.61399,-122.3814,11,227,0.06
2016-08-15 17:00:44,A7,37.61395,-122.38142,11,218,0.06
2016-08-15 17:00:45,A7,37.6139,-122.38147,11,235,0.06
2016-08-15 17:00:46,A7,37.61386,-122.38149,11,218,0.06
2016-08-15 17:00:47,A7,37.61381,-122.38151,13,214,0.06
2016-08-15 17:00:49,A7,37.6137,-122.38155,13,213,0.06
2016-08-15 17:00:50,A7,37.61364,-122.38157,14,211,0.06
2016-08-15 17:00:51,A7,37.61359,-122.38163,14,240,0.06
2016-08-15 17:00:52,A7,37.61352,-122.38167,15,221,0.06
2016-08-15 17:00:53,A7,37.61347,-122.3817,17,222,0.06
2016-08-15 17:00:54,A7,37.61341,-122.38177,16,239,0.06
2016-08-15 17:00:55,A7,37.61335,-122.38183,15,235,0.06
2016-08-15 17:00:56,A7,37.6133,-122.38187,17,229,0.06
2016-08-15 17:00:57,A7,37.61324000000001,-122.38192,17,230,0.06
2016-08-15 17:00:58,A7,37.61317,-122.38196,17,221,0.06
2016-08-15 17:01:00,A7,37.61303,-122.38204,17,221,0.06
2016-08-15 17:01:01,A7,37.61295,-122.38208,17,218,0.06
2016-08-15 17:01:02,A7,37.61288,-122.3821,17,209,0.06
2016-08-15 17:01:03,A7,37.61281,-122.38213,16,215,0.06
2016-08-15 17:01:04,A7,37.61275,-122.38218,16,230,0.06
2016-08-15 17:01:06,A7,37.61263,-122.38228,16,230,0.06
2016-08-15 17:01:07,A7,37.61257,-122.38232,16,224,0.06
2016-08-15 17:01:08,A7,37.6125,-122.38235,16,215,0.06
2016-08-15 17:01:09,A7,37.61244,-122.3824,17,230,0.06
2016-08-15 17:01:10,A7,37.61238,-122.38246,17,235,0.06
2016-08-15 17:01:11,A7,37.61231,-122.38251,18,226,0.06
2016-08-15 17:01:12,A7,37.61223,-122.38256,19,223,0.06
2016-08-15 17:01:13,A7,37.61216,-122.38261,19,226,0.06
2016-08-15 17:01:14,A7,37.61208,-122.38266000000002,19,223,0.06
2016-08-15 17:01:15,A7,37.61201,-122.38271,19,226,0.06
2016-08-15 17:01:16,A7,37.61194,-122.38276,19,226,0.06
2016-08-15 17:01:17,A7,37.61186,-122.38281,19,223,0.06
2016-08-15 17:01:18,A7,37.61179,-122.38286,19,226,0.06
2016-08-15 17:01:19,A7,37.61171,-122.38291,19,223,0.06
2016-08-15 17:01:20,A7,37.61165,-122.38296,19,230,0.06
2016-08-15 17:01:21,A7,37.61157,-122.38301,19,223,0.06
2016-08-15 17:01:22,A7,37.6115,-122.38306,19,226,0.06
2016-08-15 17:01:23,A7,37.61143,-122.38311000000002,19,226,0.06
2016-08-15 17:01:24,A7,37.61134000000001,-122.38317,20,224,0.06
2016-08-15 17:01:25,A7,37.61126,-122.38321,21,218,0.06
2016-08-15 17:01:26,A7,37.61117,-122.38327,21,224,0.06
2016-08-15 17:01:28,A7,37.61101,-122.38337,19,223,0.06
2016-08-15 17:01:29,A7,37.61095,-122.38343,20,235,0.06
2016-08-15 17:01:30,A7,37.61087,-122.38347,19,218,0.06
2016-08-15 17:01:31,A7,37.61079,-122.38352,19,223,0.06
2016-08-15 17:01:32,A7,37.61072,-122.38358,19,231,0.06
2016-08-15 17:01:33,A7,37.61064,-122.38362,19,218,0.06
2016-08-15 17:01:34,A7,37.61056,-122.38367,19,223,0.06
2016-08-15 17:01:35,A7,37.61049000000001,-122.38372,19,226,0.06
2016-08-15 17:01:36,A7,37.61041,-122.38378,19,227,0.13
2016-08-15 17:01:37,A7,37.61034,-122.38381,19,215,0.06
2016-08-15 17:01:38,A7,37.61027,-122.38387,19,231,0.06
2016-08-15 17:01:39,A7,37.6102,-122.38394,19,235,0.06
2016-08-15 17:01:40,A7,37.61013,-122.384,19,231,0.06
2016-08-15 17:01:41,A7,37.61006,-122.38407,19,235,0.13
